code,description
001,Abattoir Worker
002,Accounts Assistant
003,Accounts Clerk
004,Actor
005,Actress
006,Acupuncturist
007,Administration Assistant
008,Administration Clerk
009,Administrator
010,Advertising Assistant
011,Advertising Clerk
012,Advertising Manager
013,Aerial Erector
014,Aerobic Instructor
015,Agricultural Engineer
016,Aircraft Designer
017,Airline Check-in Staff
018,Airman
019,Almoner
020,Anaesthetist
021,Animal Breeder
022,Arbitrator
023,Architects Technician
024,Art Critic
025,Articled Clerk
026,Asphalter
027,Astrologer
028,Astronomer
029,Auto Electrician
030,Auxiliary Nurse
031,Bacon Curer
032,Bank Clerk
033,Bank Manager
034,Bar Manager
035,Bar Steward
036,Barber
037,Barmaid
038,Barman
039,Bill Poster
040,Biochemist
041,Biologist
042,Blinds Installer
043,Boiler Maker
044,Book Binder
045,Book Seller
046,Botanist
047,Brewer
048,Broadcaster
049,Builders Labourer
050,Building Foreman
051,Bus Driver
052,Butler
053,Cabinet Maker
054,Cameraman
055,Car Builder
056,Car Salesman
057,Careers Officer
059,Caulker
060,Certified Accountant
061,Chandler
062,Charity Worker
063,Chartered Accountant
064,Chartered Surveyor
065,Chemist
066,Chicken Sexer
068,Chiropractor
069,Choreographer
070,Church Officer
071,Church Warden
072,Claims Adjustor
073,Claims Assessor
074,Clergyman
075,Cleric
076,Clock Maker
077,Coach Builder
078,Coach Driver
079,Coal Merchant
080,Commercial Artist
081,Commercial Traveller
082,Commissioned Officer
083,Community Worker
084,Company Director
085,Composer
086,Computer Analyst
087,Computer Engineer
088,Consultant
089,Conveyancer
090,Cook
091,Cooper
092,Council Worker
093,Counsellor
094,Crane Driver
095,Credit Manager
096,Crofter
097,Customs & Excise Officer
098,Cutler
099,Cutter
100,Dancer
101,Decorator
102,Delivery Courier
103,Demonstrator
104,Dental Assistant
105,Dental Hygienist
106,Dental Nurse
107,Dental Technician
108,Dentist
109,Dermatologist
110,Despatch Worker
111,Dietician
112,Dinner Lady
113,Diplomat
114,Dockyard Worker
115,Doctor
116,Dog Breeder
117,Double Glazing Salesman
118,Drayman
119,Dustman
120,Dyer
121,Electronic Engineer
122,Embalmer
123,Embassy Staff
124,Environmental Health Officer
125,Exhaust Fitter
126,Exhibition Organiser
127,Exotic Dancer
128,Fabricator
129,Fast Food Delivery Driver
130,Fence Erector
131,Fibre Glass Moulder
132,Film Director
133,Film Producer
134,Film Technician
135,Firefighter
136,Fish Fryer
137,Fitness Instructor
138,Flight Deck Crew
139,Foundry Worker
140,French Polisher
141,Fuel Merchant
142,Funeral Director
143,Funeral Furnisher
144,Gas Fitter
145,Gas Technician
146,General Manager
147,Glazier
148,Green Keeper
149,Guard
150,Guest House Proprietor
151,Gun Smith
152,Gynaecologist
153,Heating & Ventilation Engineer
154,Heating Engineer
155,Herbalist
156,Hod Carrier
157,Homeopath
158,Horse Breeder
161,Horse Trader
162,Hotelier
163,Househusband
164,Housing Officer
165,Insurance Assessor
166,Insurance Inspector
167,Insurance Representative
168,Interior Decorator
169,Interviewer
170,Janitor
171,Justice Of The Peace
172,Keep Fit Instructor
173,Kennel Maid
174,Kissagram Person
175,Kitchen Worker
176,Landlord
177,Laundry Worker
178,Lavatory Attendant
179,Leather Worker
180,Leisure Centre Attendant
181,Lens Grinder & Polisher
182,Licensee
183,Lift Attendant
184,Lift Engineer
185,Lighting Technician
186,Line Worker
187,Linguist
188,Literary Agent
189,Lorry Driver
190,Loss Adjustor
191,Loss Assessor
192,Lumberjack
193,Magistrates Clerk
194,Managing Director
195,Manicurist
196,Marine Pilot
197,Marketing Assistant
198,Marketing Executive
199,Marketing Manager
200,Masseur
201,Masseuse
202,Merchant Seaman
203,Metal Dealer
204,Microbiologist
205,Milkman
206,Mill Worker
207,Miller
208,Mineralologist
209,Minicab Driver
210,Mobile Hairdresser
211,Mobile Service Engineer
212,Mortgage Broker
213,Mortician
214,Motor Engineer
215,Motor Mechanic
216,Navigator
217,Neurologist
218,Night Watchman
219,Non Commissioned Officer
220,Not In Employment
221,Notary Public
222,Nuclear Scientist
223,Occupational Therapist
224,Oculist
225,Office Manager
226,Operations Manager
227,Organist
228,Ostler
229,Paint Sprayer
230,Panel Beater
231,Paramedic
232,Park Attendant
233,Park Keeper
234,Personnel Manager
235,Personnel Officer
236,Pest Controller
237,Photo Engraver
238,Physicist
239,Picker
240,Picture Framer
241,Pilot
242,Pool Attendant
244,Post Office Counter Clerk
245,Postman
246,Postwoman
247,Priest
248,Print Finisher
250,Procurator Fiscal
251,Professor
252,Progress Clerk
253,Project Engineer
254,Project Manager
255,Property Buyer
256,Property Dealer
257,Property Manager
258,Property Valuer
259,Proprietor
260,Psychiatrist
261,Psychologist
262,Psychotherapist
263,Purser
264,Quarry Worker
265,Queens Counsel
266,Rabbi
267,Radio Director
268,Radio Presenter
269,Radio Producer
270,Rector
271,Restaurant Manager
272,Restaurateur
273,Restorer
275,Rigger
276,Riveter
277,Road Worker
278,Royal Marine
279,Saddler
280,Sail Maker
281,Sales Executive
282,Sales Manager
283,Sales Representative
284,Salesman
285,Sand Blaster
286,Saw Miller
287,Scrap Dealer
288,Screen Printer
289,Screen Writer
290,Seaman
291,Seamstress
292,Second Hand Dealer
293,Seedsman
294,Servant
295,Sheet Metal Worker
296,Shelf Filler
297,Shepherd
298,Sheriff
299,Sheriff Clerk
300,Sheriff Principal
301,Sheriffs Officer
302,Ship Builder
303,Shipwright
304,Shoe Repairer
305,Shop Keeper
306,Shop Manager
307,Shot Blaster
308,Shunter
309,Signalman
310,Slater
311,Slaughterman
312,Smallholder
313,Soldier
314,Song Writer
315,Sound Engineer
316,Speech Therapist
317,Sports Coach
318,Sportsman
319,Sportswoman
320,Stage Director
322,Stage Manager
323,Stage Mover
324,Steel Erector
325,Steward
326,Stewardess
327,Stockman
328,Storeman
329,Storewoman
330,Stud Hand
332,Systems Analyst
333,Tanner
334,Tax Consultant
335,Tea Blender
336,Tea Taster
337,Technical Author
338,Telecommunications Engineer
339,Telephone Engineer
340,Television Director
341,Television Engineer
342,Television Presenter
343,Television Producer
344,Thatcher
345,Theatre Manager
346,Theatrical Agent
347,Tour Guide
348,Trading Standards Officer
349,Transport Officer
350,Travel Consultant
351,Travel Courier
352,Tree Feller
353,Tunneller
354,Turner
355,Tutor
356,Typesetter
357,Tyre Fitter
358,Vehicle Assessor
359,Vicar
360,Waiter
361,Waitress
362,Warehouseman
363,Warehousewoman
364,Waste Dealer
365,Weaver
366,Welfare Officer
367,Wheel Clamper
368,Window Dresser
369,Wine Merchant
370,Wood Carver
371,Wood Cutter
372,Wood Worker
373,Youth Worker
374,Zoologist
375,Coppersmith
376,Health And Safety Officer
378,Illustrator
379,Laminator
380,Optical Assistant
381,Pallet Maker
382,Tool Setter
383,Local Government Officer
384,Copywriter
385,Dark Room Technician
386,Farrier
387,Flying Instructor
388,Physiologist
389,Road Sweeper
390,Customer Liaison Officer
391,Accommodation Officer
392,Aircraft Buyer
393,Applications Engineer
394,Applications Programmer
395,Assistant Manager
396,Audiologist
397,Audit Clerk
398,Bank Note Checker
399,Book-Keeper
400,Booking Office Clerk
401,Building Inspector
402,Building Surveyor
403,Calibration Manager
404,Care Manager
405,Charge Hand
406,Classroom Aide
407,Complementary Therapist
408,Court Officer
409,Customer Advisor
410,Dance Teacher
411,Design Engineer
412,Development Manager
413,Dog Groomer
414,Drug Addiction Counsellor
415,Electrical Contractor
416,Evangelist
417,Excursion Manager
418,Finance Director
419,Financial Analyst
420,Floor Layer
421,Floor Manager
422,Food Processor
423,Garage Foreman
424,Geophysicist
425,Hearing Therapist
426,Hospital Technician
427,House Parent
428,Immigration Officer
429,Instrument Engineer
430,Laboratory Assistant
431,Lathe Operator
432,Legal Executive
433,Maintenance Man
434,Matron
435,Medical Secretary
436,Museum Technician
437,Nursery Assistant
438,Operations Supervisor
439,Outfitter
440,Pathologist
441,Petroleum Engineer
442,Plant Manager
443,Plater
444,Playgroup Leader
445,Practice Manager
446,Precision Engineer
447,Produce Supervisor
448,Product Manager
449,Production Engineer
450,Publicity Manager
451,Radiologist
452,Research Director
453,Research Technician
454,Revenue Officer
455,Sales Administrator
456,Sales Director
457,Sales Support
458,School Crossing Warden
459,Secretary And PA
460,Share Dealer
461,Site Engineer
462,Software Consultant
463,Software Engineer
464,Systems Manager
465,Teachers Assistant
466,Therapist
467,Town Planner
468,Training Manager
469,Transport Controller
470,Transport Engineer
471,Vehicle Technician
472,Verger
473,Warehouse Manager
474,Welfare Rights Officer
475,Youth Hostel Warden
476,Bodyshop Manager
477,Contract Cleaner
478,Financial Consultant
479,Health Therapist
480,Jewellery Consultant
481,Machine Setter
482,Maintenance Fitter
483,Parts Manager
484,Plastics Consultant
485,Process Engineer
486,Public House Manager
487,Research Scientist
488,Shipping Officer
489,Staff Nurse
490,Tax Analyst
491,Thermal Engineer
492,Violin Maker
493,Loader
494,Refit Merchandiser
495,Cinema Assistant
496,Clerical Officer
497,Contract Manager
498,County Councillor
499,Dental Surgeon
500,Energy Analyst
501,Fish Filleter
502,Foreman
503,Ground Worker
504,Legal Assistant
505,Make Up Artist
506,Metal Polisher
507,Microfilm Operator
508,Music Teacher
509,Pipe Fitter
510,Press Operator
511,Proof Reader
512,Safety Officer
513,Stenographer
514,Supply Teacher
515,Audit Manager
516,Blind Fitter
517,Cable Contractor
518,Careers Advisor
519,Centre Lathe Operator
520,Commercial Manager
521,Confectioner
522,Creche Worker
523,Day Care Officer
524,Diecaster
525,Dryliner
526,Flagger
527,Foam Convertor
528,Goods Handler
529,Handyman
530,Head Accurist
531,Instrument Supervisor
532,Landscape Architect
533,Nursing Assistant
534,Oil Rig Crew
535,Optical Technician
536,Parts Supervisor
537,Pasteuriser
538,Patent Attorney
539,Planning Officer
540,Plastics Engineer
541,Playgroup Assistant
542,Production Planner
543,Quality Engineer
544,Quality Manager
545,Quality Technician
546,Security Controller
547,Service Manager
548,Site Agent
549,Skipper
550,Sound Technician
551,Stock Manager
552,Stone Cutter
553,Studio Manager
554,Tacker
555,Trainee Manager
556,Yard Manager
557,Building Society Staff
559,Aircraft Engineer
560,Bakery Assistant
561,Ceiling Fixer
562,Cleaning Contractor
563,Data Processor
564,Dog Beautician
565,Farm Manager
566,Fishery Manager
567,Health Advisor
568,Hygienist
569,Litigation Manager
570,Marine Surveyor
571,Metal Engineer
572,Nursing Manager
573,Opthalmic Technician
574,Payroll Assistant
575,Planning Engineer
576,Press Officer
577,Project Leader
578,Purchasing Assistant
579,Radio Operator
580,Roof Tiler
581,Shift Controller
582,Spring Maker
583,Sub-Postmistress
584,Systems Engineer
585,Welfare Assistant
586,Works Manager
587,Store Detective
588,Airport Controller
589,Assistant Accounts Manager
590,Assistant Caretaker
591,Assistant Cook
592,Assistant Nurse
593,Assistant Teacher
594,Bakery Operator
595,Baptist Minister
596,Beauty Therapist
597,Blind Assembler
598,Body Fitter
599,Booking Agent
600,Building Advisor
601,Building Contractor
602,Building Manager
603,Bus Valeter
604,Cafe Owner
605,Cafe Staff
606,Car Body Repairer
607,Car Dealer
608,Car Wash Attendant
609,Carpenters Assistant
610,Carpet Retailer
611,Catering Manager
612,Ceiling Contractor
613,Cellarman
614,Chartered Engineer
615,Chief Cashier
616,Chief Chemist
617,Claims Manager
618,Cleaning Supervisor
619,Clerical Assistant
620,Clinical Psychologist
621,College Lecturer
622,Commissioning Engineer
623,Community Craft Instructor
624,Conservator
625,Contract Furnisher
626,Contracts Supervisor
627,Craft Dealer
628,Craftswoman
629,Crime Examiner
630,Cycle Repairer
632,Cobbler
633,Dairy Engineer
634,Data Administrator
635,Data Co-Ordinator
636,Debt Counsellor
637,Delivery Driver
638,Deputy Head Teacher
639,Deputy Manager
640,Deputy Principal
641,Design Director
642,Design Manager
643,Despatch Driver
644,Despatch Rider
645,Distribution Manager
646,Document Controller
647,Dog Trainer
648,Domestic Staff
649,Door Fitter
650,Draughtswoman
651,Dry Cleaner
652,Dye Polisher
653,Ecologist
654,Education Advisor
655,Electrical Fitter
656,Electronics Supervisor
657,Electronics Technician
658,Estate Manager
659,Events Organiser
660,Extrusion Operator
661,Factory Canteen Manager
662,Factory Manager
663,Fashion Photographer
664,Figure Painter
665,Finance Manager
666,Finance Officer
667,Fireplace Fitter
668,Firewood Merchant
669,First Aid Worker
670,Fish Buyer
671,Fish Merchant
672,Fish Worker
673,Fisheries Inspector
674,Flour Miller
676,Fruiterer
677,Furniture Dealer
678,Hospital Doctor
680,Advertising Contractor
681,Bakery Manager
682,Betting Shop Clerk
683,Building Society Clerk
684,Butchery Manager
686,Cafe Worker
687,Communications Supervisor
688,Computer Manager
689,Construction Engineer
690,Curtain Maker
691,Aromatherapist
692,Auction Worker
693,Balloonist
694,Bingo Hall Staff
695,Box Maker
696,Builders Merchant
697,Building Site Inspector
698,Cable TV Installer
699,Cargo Operator
700,Carpet Cleaner
701,Carphone Fitter
702,China Restorer
703,Clay Pigeon Instructor
704,Coin Dealer
705,College Dean
706,Conference Organiser
707,Conservationist
708,Countryside Ranger
709,Currency Trader
710,Diamond Dealer
711,Distillery Worker
712,Drilling Technician
713,Editorial Staff
714,Exporter
715,Fast Food Proprietor
716,Fire Prevention Officer
717,Gallery Owner
718,Gambler
719,Gaming Club Manager
720,Gaming Club Proprietor
721,Garage Attendant
722,Garage Manager
723,Garden Designer
724,Gas Mechanic
725,Golfer
726,Granite Technician
727,Gravel Merchant
728,Grocer
729,Guide
730,Hardware Dealer
731,Haulage Contractor
732,Head Greenkeeper
733,Health And Safety Consultant
734,Health Care Assistant
735,Health Planner
736,HGV Mechanic
737,Historian
738,Homecare Manager
739,Hop Merchant
740,Horse Trainer
741,Hosiery Mechanic
742,Hosiery Worker
743,Hospital Consultant
744,Hospital Manager
745,Hospital Orderly
746,Hospital Worker
747,Hot Foil Printer
748,Hotel Worker
749,Housing Assistant
750,Housing Supervisor
751,Hydro Geologist
752,Hypnotherapist
753,Importer
754,Money Broker
755,Nutritionist
756,Orthoptist
757,Patent Agent
758,Pipe Inspector
759,Potato Merchant
760,Publishing Manager
761,Racehorse Groom
762,Radio Controller
763,Refrigeration Engineer
764,Reflexologist
765,Rent Collector
766,Scientific Officer
767,Shelter Warden
768,Shooting Instructor
769,Special Constable
770,Sports Commentator
771,Stocktaker
772,Tattooist
773,Technical Illustrator
774,Technical Instructor
775,Telex Operator
776,Tug Skipper
777,Valve Technician
778,Vending Machine Filler
779,Vending Machine Technician
780,Weighbridge Clerk
781,Weighbridge Operator
782,Instrument Technician
783,Mechanical Technician
784,Genealogist
785,Induction Moulder
786,Injection Moulder
787,Insurance Consultant
788,Investment Banker
789,Jazz Composer
790,Joinery Consultant
791,Junk Shop Proprietor
792,Laboratory Analyst
793,Laboratory Manager
794,Laboratory Supervisor
795,Labelling Operator
796,Laboratory Operative
797,Laboratory Attendant
798,Landlady
799,Law Clerk
800,Lawn Mower Repairer
801,Leaflet Distributor
802,Ledger Clerk
803,Legal Advisor
804,Leisure Centre Manager
805,Letting Agent
806,Money Dealer
807,Mooring Contractor
808,Mortgage Consultant
809,Motor Dealer
810,Motor Fitter
811,Motor Racing Organiser
812,Museum Assistant
813,Museum Attendant
814,Museum Consultant
815,Music Therapist
816,Music Wholesaler
817,Library Manager
818,Lighterman
819,Lighting Designer
820,Lime Kiln Attendant
821,Literary Editor
822,Loans Manager
823,Locum Pharmacist
824,Log Merchant
825,Machine Fitters Mate
826,Machine Minder
827,Machine Technician
828,Machine Tool Engineer
829,Machine Tool Fitter
830,Magician
831,Maid
832,Maintenance Engineer
833,Maintenance Manager
834,Make Up Supervisor
835,Management Trainee
836,Manufacturing Technician
837,Map Mounter
838,Marble Finisher
839,Marble Mason
840,Marine Electrician
841,Marine Geologist
843,Market Research Assistant
844,Marketing Agent
845,Marketing Co-ordinator
846,Marketing Consultant
847,Marketing Director
848,Marquee Erector
849,Massage Therapist
850,Master Mariner
851,Materials Controller
852,Materials Manager
853,Mathematician
854,Mattress Maker
855,Meat Inspector
856,Meat Wholesaler
857,Medal Dealer
858,Medical Advisor
859,Medical Assistant
860,Medical Physicist
861,Medical Researcher
862,Medical Supplier
863,Medical Technician
864,Merchandiser
865,Merchant Banker
866,Mill Operator
867,Mining Consultant
868,Mobile Disco Owner
869,Model Maker
870,IT Consultant
871,IT Manager
872,IT Trainer
873,Monumental Sculptor
874,Landworker
875,Line Manager
876,Bingo Caller
877,Check-Out Assistant
878,Night Porter
879,Nursery Worker
880,Nursing Auxiliary
881,Off Shore Surveyor
882,Office Administrator
883,Oil Broker
884,Opera Singer
885,Operations Director
886,Optical Advisor
887,Orchestral Violinist
888,Order Clerk
889,Ornamental Blacksmith
890,Orthopaedic Technician
891,Outdoor Pursuits Instructor
892,Outreach Worker
893,Overhead Line Instructor
894,Overhead Lineman
895,Overlocker
896,Overseas Mailer
897,Overwriter
898,Packaging Consultant
899,Paediatrician
900,Paper Mill Worker
901,Park Ranger
902,Partition Erector
903,Parts Man
904,Pastry Chef
905,Pattern Cutter
906,Pattern Weaver
907,Paviour
908,Payment Officer
910,Payroll Clerk
911,Payroll Manager
912,Payroll Supervisor
913,Pearl Stringer
914,Pensions Consultant
915,Pensions Manager
916,Pet Minder
917,Petty Officer
918,Pharmaceutical Assistant
919,Pharmacy Manager
920,Pharmacy Technician
921,Photo Laboratory Processor
922,Photo Technician
923,Physician
924,Piano Teacher
925,Picture Editor
926,Picture Researcher
927,Pig Man
928,Pig Manager
929,Pipe Insulator
930,Planning Manager
931,Planning Technician
932,Plant Attendant
933,Plant Engineer
934,Plant Fitter
935,Plant Operator
936,Plate Layer
937,Polisher
938,Portfolio Manager
939,Post Card Seller
940,Post Sorter
941,Preacher
942,Press Setter
943,Presser
944,Prison Chaplain
945,Probation Worker
946,Process Operator
948,Product Installer
949,Production Hand
950,Progress Chaser
951,Project Co-ordinator
952,Project Worker
953,Psychodynamic Counsellor
954,Purchase Clerk
955,Purchase Ledger Clerk
956,Purchasing Manager
957,Quality Inspector
958,Radio Engineer
959,Rally Driver
960,Ramp Agent
961,Records Supervisor
962,Recovery Vehicle Co-ordinator
963,Refractory Engineer
964,Regulator
965,Relocation Agent
966,Remedial Therapist
967,Repair Man
968,Reprographic Assistant
969,Research Analyst
970,Revenue Clerk
971,Rose Grower
972,Toll Collector
975,Investigator
976,Tanker Driver
977,Tarmacer
978,Tax Advisor
979,Tax Assistant
980,Tax Manager
981,Tax Officer
982,Taxi Controller
983,Technical Advisor
984,Technical Analyst
985,Technical Assistant
986,Technical Clerk
987,Technical Co-ordinator
988,Technical Director
989,Technical Editor
990,Technical Engineer
991,Technical Liaison Engineer
992,Technical Manager
993,Telecommunications Manager
994,Telegraphist
995,Telemarketeer
996,Temperature Time Recorder
997,Tennis Coach
998,Textile Consultant
999,Textile Engineer
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
